"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR037041370","1965-09","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","1",",I","0",",I","","","","","","","6.5",",,I,30,","6.5",",,,I","",""
"BR037041370","1965-10","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","7",",I","3",",I","0",",I","","","","","","","13.1",",,I,06,","24.1",",,,I","",""
"BR037041370","1965-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","2",",I","1",",I","","","","","","","44.1",",,I,02,","51.1",",,,I","",""
"BR037041370","1965-12","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","4",",I","0",",I","0",",I","","","","","","","1.1",",,I,23,+","3.8",",,,I","",""
"BR037041370","1966-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","12",",I","8",",I","2",",I","","","","","","","35.4",",,I,12,","113.6",",,,I","",""
"BR037041370","1966-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","19",",I","15",",I","3",",I","","","","","","","83.2",",,I,01,","292.0",",,,I","",""
"BR037041370","1966-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","17",",I","12",",I","3",",I","","","","","","","36.3",",,I,03,","179.3",",,,I","",""
"BR037041370","1966-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","15",",I","12",",I","3",",I","","","","","","","75.6",",,I,13,","253.0",",,,I","",""
"BR037041370","1966-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","16",",I","11",",I","1",",I","","","","","","","35.6",",,I,25,","165.9",",,,I","",""
"BR037041370","1966-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","7",",I","3",",I","0",",I","","","","","","","10.6",",,I,08,","25.5",",,,I","",""
"BR037041370","1966-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","3",",I","1",",I","0",",I","","","","","","","2.8",",,I,10,","3.5",",,,I","",""
"BR037041370","1966-08","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","0",",I","0",",I","","","","","","","0.9",",,I,02,","0.9",",,,I","",""
"BR037041370","1966-09","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.2",",,I,06,","0.2",",,,I","",""
"BR037041370","1966-10","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","0",",I","0",",I","","","","","","","2.1",",,I,16,","2.5",",,,I","",""
"BR037041370","1966-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","7",",I","2",",I","1",",I","","","","","","","171.1",",,I,24,","187.9",",,,I","",""
"BR037041370","1966-12","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","11",",I","4",",I","1",",I","","","","","","","39.8",",,I,26,","87.7",",,,I","",""
"BR037041370","1967-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","16",",I","13",",I","2",",I","","","","","","","152.8",",,I,21,","273.2",",,,I","",""
"BR037041370","1967-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","19",",I","16",",I","2",",I","","","","","","","35.2",",,I,24,","228.6",",,,I","",""
"BR037041370","1967-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","24","1,I","20","1,I","7","1,I","","","","","","","79.3","1,,I,26,","431.2","1,,,I","",""
"BR037041370","1967-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","22",",I","15",",I","4",",I","","","","","","","49.4",",,I,21,","282.4",",,,I","",""
"BR037041370","1967-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","15",",I","13",",I","3",",I","","","","","","","72.5",",,I,03,","276.2",",,,I","",""
"BR037041370","1967-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","0",",I","0",",I","","","","","","","0.5",",,I,16,+","1.2",",,,I","",""
"BR037041370","1967-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.1",",,I,03,","0.1",",,,I","",""
